id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
877328163266323559,bright 4.5 room apartment (3 bedrooms),123896618,Sharedlock,Kreis 6,Oberstrass,47.38312,8.54585,Entire home/apt,140,20,25,2023-10-01,1.94,17,7,19,
877428904150484741,Spacious and bright flat 12' to Zürich center,538961,Alexandra,Kreis 6,Unterstrass,47.40169,8.53775,Entire home/apt,,3,0,,,1,0,0,
878003903876354172,"Blueground | Unterstrass, storage, near market",434204093,Blueground,Kreis 6,Unterstrass,47.3866968,8.543127700000001,Entire home/apt,196,30,1,2023-09-10,0.10,132,333,1,
878026895426691607,Gemütliches Haus mit Garten und Parkplatz,15378757,Valentino,Kreis 11,Seebach,47.4200066,8.5504432,Entire home/apt,199,14,21,2024-06-09,1.57,1,32,18,
878281922203565883,Stunning Rooftop View - Central Zurich - Top floor,4332149,Mario,Kreis 1,Hochschulen,47.3790539,8.5448612,Entire home/apt,131,3,69,2024-06-22,4.99,1,4,62,
878299710311801436,George's funky house,15214180,George,Kreis 4,Hard,47.37739,8.51586,Entire home/apt,,3,2,2024-04-29,0.34,2,0,2,
878681003524206323,Studio flat close to the lake,4462872,Eder,Kreis 2,Wollishofen,47.3447647,8.5295082,Entire home/apt,,1,0,,,4,0,0,
881622378017787461,City Centre Apartment with Green Views,1229459,Swissstay,Kreis 8,Weinegg,47.36142,8.55964,Entire home/apt,145,2,25,2024-06-24,1.87,80,76,23,
881690290835335197,"Lovely, clean, bright Studio",23656409,Henriette,Kreis 9,Altstetten,47.3805022,8.479812299999999,Entire home/apt,,6,0,,,1,0,0,
883479953795561395,Private Room in Zurich,513027450,Bnb,Kreis 11,Oerlikon,47.40498,8.54653,Private room,,1,0,,,3,86,0,
883752842761390254,"Fantastic, very central studio (Sun 1)",23561865,Dimi,Kreis 6,Unterstrass,47.38255849999999,8.5442055,Entire home/apt,168,2,31,2024-06-15,2.41,71,15,26,
883805841039600250,"Terrific studio in the city center, sunny  (Sun 2)",23561865,Dimi,Kreis 6,Unterstrass,47.38255849999999,8.5442055,Entire home/apt,148,2,33,2024-06-18,2.57,71,12,30,
883822562499681135,Nice and very central 1BR flat (Sun 3),23561865,Dimi,Kreis 6,Unterstrass,47.38255849999999,8.5442055,Entire home/apt,,2,73,2024-06-14,5.69,71,0,67,
884481719432232189,Liebenswertes Apartment in zentraler Lage,182025252,Finn,Kreis 3,Sihlfeld,47.37094,8.51785,Entire home/apt,,3,21,2024-06-24,1.64,1,2,19,
884584907016941459,Apartment in the Heart of Zurich,508643022,Sotirios,Kreis 6,Oberstrass,47.38056715111299,8.548122176721185,Entire home/apt,250,5,11,2023-12-30,0.82,2,283,9,
885227334071225766,Gästezimmer ruhig schön gross 20qm mit Gartensicht,244894367,Lena,Kreis 7,Witikon,47.35897,8.58976,Private room,88,1,0,,,5,364,0,
885331914157039751,Beautiful apartment in Zurich,255809846,Ekaterina,Kreis 8,Mühlebach,47.36534,8.55028,Entire home/apt,250,4,0,,,1,176,0,
